layer,avg_U_similarity_ft,avg_V_similarity_ft,min_U_similarity_ft,max_U_similarity_ft,spectral_intruder_count_ft,layer_id,module,drift_U_ft,drift_V_ft,spectral_drift_ft,model_ft,avg_U_similarity_lora,avg_V_similarity_lora,min_U_similarity_lora,max_U_similarity_lora,spectral_intruder_count_lora,drift_U_lora,drift_V_lora,spectral_drift_lora,model_lora,delta_ft_lora
model.layers.0.self_attn.q_proj.weight,0.9999920338392256,0.9999921590089798,0.9999522566795348,0.9999999403953552,0,0,q_proj,7.966160774364184e-06,7.840991020247046e-06,1.580715179461123e-05,finetuned,1.0000000447034836,1.0000001221895218,0.9999998807907104,1.000000238418579,0,-4.470348358154297e-08,-1.221895218339597e-07,-1.6689300541550267e-07,lora,1.5974044800026732e-05
model.layers.0.self_attn.k_proj.weight,0.9999904721975328,0.999990138411522,0.9999643564224244,1.0000001192092896,0,0,k_proj,9.527802467212965e-06,9.86158847804397e-06,1.9389390945256935e-05,finetuned,1.000000032782555,1.0000000715255737,0.9999998807907104,1.0000001192092896,0,-3.278255489291837e-08,-7.152557368605983e-08,-1.043081285789782e-07,lora,1.9493699073835913e-05
model.layers.0.self_attn.v_proj.weight,0.2019388616085052,0.2019357144832611,-0.9993265867233276,0.9999046921730042,8,0,v_proj,0.7980611383914948,0.7980642855167389,9.596125423908234,finetuned,1.000000050663948,1.000000062584877,0.9999998807907104,1.000000238418579,0,-5.066394792585527e-08,-6.258487705856908e-08,-1.1324882498442435e-07,lora,9.596125537157059
model.layers.0.self_attn.o_proj.weight,0.9999322384595872,0.9999337643384932,0.9998050928115844,0.9999967217445374,0,0,o_proj,6.77615404127696e-05,6.623566150676385e-05,0.00013399720191953346,finetuned,1.0000000655651091,1.0000001341104507,0.9999999403953552,1.000000238418579,0,-6.556510911970292e-08,-1.341104507446289e-07,-1.9967555986433183e-07,lora,0.0001341968774793978
model.layers.0.mlp.gate_proj.weight,0.9999730169773102,0.9999809443950654,0.9999200105667114,0.9999936819076538,0,0,gate_proj,2.6983022689774927e-05,1.9055604934647974e-05,4.60386276244229e-05,finetuned,1.0000000596046448,0.9999999821186064,0.9999999403953552,1.000000238418579,0,-5.960464477539063e-08,1.788139358804841e-08,-4.1723251187342214e-08,lora,4.608035087561024e-05
model.layers.0.mlp.up_proj.weight,0.999268215894699,0.9992800176143646,0.997852861881256,0.9999632835388184,0,0,up_proj,0.0007317841053009477,0.0007199823856354204,0.0014517664909363681,finetuned,1.0000000953674315,1.000000125169754,0.9999998211860656,1.0000003576278689,0,-9.536743150739824e-08,-1.2516975389509355e-07,-2.2053718540249179e-07,lora,0.0014519870281217706
model.layers.0.mlp.down_proj.weight,0.8993934601545334,0.899390822649002,-0.9927653670310974,0.9999876618385316,1,0,down_proj,0.10060653984546664,0.10060917735099795,1.2012157171964646,finetuned,1.0000000029802325,1.000000062584877,0.9999997615814208,1.0000001192092896,0,-2.980232505223057e-09,-6.258487705856908e-08,-6.556510956379213e-08,lora,1.2012157827615741
model.layers.1.self_attn.q_proj.weight,0.999975648522377,0.999977880716324,0.9999489784240724,0.9999969005584716,0,1,q_proj,2.435147762303025e-05,2.2119283676014234e-05,4.647076129904448e-05,finetuned,1.0000000447034836,1.000000035762787,0.9999998807907104,1.000000238418579,0,-4.470348358154297e-08,-3.576278695405222e-08,-8.046627053559519e-08,lora,4.655122756958008e-05
model.layers.1.self_attn.k_proj.weight,0.2000656545162201,0.2000652492046356,-0.9999347925186156,0.9999983906745912,8,1,k_proj,0.79993434548378,0.7999347507953645,9.599869096279145,finetuned,1.000000011920929,1.0000000447034836,0.9999998807907104,1.0000001192092896,0,-1.1920928910669204e-08,-4.470348358154297e-08,-5.662441249221217e-08,lora,9.599869152903556
model.layers.1.self_attn.v_proj.weight,-0.2949617981910705,-0.2949405342340469,-0.9979218244552612,0.998684287071228,13,1,v_proj,1.2949617981910704,1.294940534234047,15.589902332425117,finetuned,1.000000062584877,1.0000000655651091,0.9999998807907104,1.000000238418579,0,-6.258487705856908e-08,-6.556510911970292e-08,-1.28149986178272e-07,lora,15.589902460575104
