layer,avg_U_similarity,avg_V_similarity,min_U_similarity,max_U_similarity,spectral_intruder_count
model.layers.0.self_attn.q_proj.weight,0.9999920338392257,0.9999921590089798,0.9999522566795349,0.9999999403953552,0
model.layers.0.self_attn.k_proj.weight,0.9999904721975327,0.999990138411522,0.9999643564224243,1.0000001192092896,0
model.layers.0.self_attn.v_proj.weight,0.20193886160850524,0.20193571448326111,-0.9993265867233276,0.9999046921730042,8
model.layers.0.self_attn.o_proj.weight,0.9999322384595871,0.9999337643384933,0.9998050928115845,0.9999967217445374,0
model.layers.0.mlp.gate_proj.weight,0.9999730169773102,0.9999809443950654,0.9999200105667114,0.9999936819076538,0
model.layers.0.mlp.up_proj.weight,0.999268215894699,0.9992800176143646,0.9978528618812561,0.9999632835388184,0
model.layers.0.mlp.down_proj.weight,0.8993934601545334,0.899390822649002,-0.9927653670310974,0.9999876618385315,1
model.layers.1.self_attn.q_proj.weight,0.999975648522377,0.9999778807163239,0.9999489784240723,0.9999969005584717,0
model.layers.1.self_attn.k_proj.weight,0.2000656545162201,0.20006524920463561,-0.9999347925186157,0.9999983906745911,8
model.layers.1.self_attn.v_proj.weight,-0.29496179819107055,-0.2949405342340469,-0.9979218244552612,0.998684287071228,13
model.layers.1.self_attn.o_proj.weight,0.9996013373136521,0.9996078461408615,0.9988412857055664,0.9999897480010986,0
model.layers.1.mlp.gate_proj.weight,0.9999189794063568,0.9999283432960511,0.9998492002487183,0.9999887347221375,0
model.layers.1.mlp.up_proj.weight,0.19905700981616975,0.19906336963176727,-0.9997896552085876,0.9999496936798096,8
model.layers.1.mlp.down_proj.weight,0.9997884213924408,0.9997733205556869,0.999157726764679,0.9999933838844299,0
model.layers.2.self_attn.q_proj.weight,0.9998710662126541,0.9998732656240463,0.9992070198059082,0.9999895095825195,0
model.layers.2.self_attn.k_proj.weight,0.9998991221189499,0.999896889925003,0.9998224973678589,0.9999948143959045,0
model.layers.2.self_attn.v_proj.weight,0.7975708574056626,0.7975485354661942,-0.9984036087989807,0.9995813965797424,2
model.layers.2.self_attn.o_proj.weight,0.9997400760650634,0.9997407466173172,0.9984568357467651,0.9999967813491821,0
model.layers.2.mlp.gate_proj.weight,0.8999251067638397,0.8999355912208558,-0.9999525547027588,0.9999916553497314,1
model.layers.2.mlp.up_proj.weight,0.9975714772939682,0.9975912183523178,0.9906299114227295,0.9999984502792358,0
model.layers.2.mlp.down_proj.weight,0.7999399811029434,0.7999264091253281,-0.9999707341194153,0.9999967813491821,2
model.layers.3.self_attn.q_proj.weight,0.9998049885034561,0.999808007478714,0.9988316297531128,0.9999955296516418,0
model.layers.3.self_attn.k_proj.weight,0.9977010011672973,0.9976944863796234,0.9788752794265747,0.9999868869781494,0
model.layers.3.self_attn.v_proj.weight,0.7969948351383209,0.7969963669776916,-0.999357283115387,0.9998951554298401,2
model.layers.3.self_attn.o_proj.weight,0.9999070107936859,0.9999101400375366,0.9996013045310974,0.9999887347221375,0
model.layers.3.mlp.gate_proj.weight,0.9998786479234696,0.999891284108162,0.9997076988220215,0.999987781047821,0
model.layers.3.mlp.up_proj.weight,0.9970747619867325,0.9970910102128983,0.9883716106414795,0.999954342842102,0
model.layers.3.mlp.down_proj.weight,0.9998649507761002,0.999850669503212,0.9992448687553406,0.9999947547912598,0
model.layers.4.self_attn.q_proj.weight,0.9999158173799515,0.9999165177345276,0.9997286796569824,0.9999923706054688,0
model.layers.4.self_attn.k_proj.weight,0.9994765907526016,0.9994733959436417,0.9960184097290039,0.9999945163726807,0
model.layers.4.self_attn.v_proj.weight,0.9951467186212539,0.9951162934303284,0.9861403107643127,0.9999379515647888,0
model.layers.4.self_attn.o_proj.weight,0.999109423160553,0.9991095960140228,0.9935867190361023,0.9999920129776001,0
model.layers.4.mlp.gate_proj.weight,0.9994885742664337,0.9994987159967422,0.9951778054237366,0.9999893307685852,0
model.layers.4.mlp.up_proj.weight,0.6949130147695541,0.6949259907007217,-0.9999251961708069,0.9999794960021973,3
model.layers.4.mlp.down_proj.weight,0.9997644573450089,0.9997518420219421,0.9988325834274292,0.999997615814209,0
model.layers.5.self_attn.q_proj.weight,0.9999072909355163,0.9999088525772095,0.9997233748435974,0.9999910593032837,0
