layer,avg_U_similarity,avg_V_similarity,min_U_similarity,max_U_similarity,spectral_intruder_count
model.layers.0.self_attn.q_proj.weight,1.0000000447034836,1.0000001221895218,0.9999998807907104,1.000000238418579,0
model.layers.0.self_attn.k_proj.weight,1.0000000327825547,1.0000000715255737,0.9999998807907104,1.0000001192092896,0
model.layers.0.self_attn.v_proj.weight,1.0000000506639481,1.000000062584877,0.9999998807907104,1.000000238418579,0
model.layers.0.self_attn.o_proj.weight,1.0000000655651093,1.0000001341104507,0.9999999403953552,1.000000238418579,0
model.layers.0.mlp.gate_proj.weight,1.0000000596046448,0.9999999821186065,0.9999999403953552,1.000000238418579,0
model.layers.0.mlp.up_proj.weight,1.0000000953674317,1.0000001251697541,0.9999998211860657,1.0000003576278687,0
model.layers.0.mlp.down_proj.weight,1.0000000029802323,1.000000062584877,0.9999997615814209,1.0000001192092896,0
model.layers.1.self_attn.q_proj.weight,1.0000000447034836,1.000000035762787,0.9999998807907104,1.000000238418579,0
model.layers.1.self_attn.k_proj.weight,1.000000011920929,1.0000000447034836,0.9999998807907104,1.0000001192092896,0
model.layers.1.self_attn.v_proj.weight,1.000000062584877,1.0000000655651093,0.9999998807907104,1.000000238418579,0
model.layers.1.self_attn.o_proj.weight,1.0000000655651093,1.0000000983476638,0.9999998807907104,1.000000238418579,0
model.layers.1.mlp.gate_proj.weight,1.0000001341104507,1.0000002533197403,0.9999998807907104,1.0000003576278687,0
model.layers.1.mlp.up_proj.weight,1.0000000894069672,1.0000001579523086,0.9999998211860657,1.0000003576278687,0
model.layers.1.mlp.down_proj.weight,1.00000002682209,1.0000004410743712,0.9999998807907104,1.0000003576278687,0
model.layers.2.self_attn.q_proj.weight,1.000000074505806,1.0000001311302185,0.9999998807907104,1.000000238418579,0
model.layers.2.self_attn.k_proj.weight,1.0000000476837159,1.0000001579523086,0.9999998807907104,1.000000238418579,0
model.layers.2.self_attn.v_proj.weight,1.0000000476837159,0.9999999821186065,0.9999998807907104,1.000000238418579,0
model.layers.2.self_attn.o_proj.weight,1.0000000149011612,0.9999999314546585,0.9999998807907104,1.000000238418579,0
model.layers.2.mlp.gate_proj.weight,1.0000001072883606,1.0000000596046448,0.9999998807907104,1.0000003576278687,0
model.layers.2.mlp.up_proj.weight,1.0000001043081284,1.0000001341104507,0.9999997019767761,1.0000007152557373,0
model.layers.2.mlp.down_proj.weight,1.000000035762787,1.0000001281499862,0.9999998807907104,1.0000001192092896,0
model.layers.3.self_attn.q_proj.weight,1.0000000685453414,1.0000001728534698,0.9999998807907104,1.000000238418579,0
model.layers.3.self_attn.k_proj.weight,1.000000062584877,1.0000001281499862,0.9999998211860657,1.000000238418579,0
model.layers.3.self_attn.v_proj.weight,1.000000035762787,1.0000000238418578,0.9999997615814209,1.000000238418579,0
model.layers.3.self_attn.o_proj.weight,1.0000000238418578,1.000000035762787,0.9999998807907104,1.000000238418579,0
model.layers.3.mlp.gate_proj.weight,1.000000035762787,1.0000001579523086,0.9999997615814209,1.0000003576278687,0
model.layers.3.mlp.up_proj.weight,1.000000035762787,1.000000074505806,0.9999997615814209,1.0000004768371582,0
model.layers.3.mlp.down_proj.weight,1.000000038743019,1.0000003933906556,0.9999997615814209,1.000000238418579,0
model.layers.4.self_attn.q_proj.weight,1.0000000417232513,1.0000000327825547,0.9999998211860657,1.000000238418579,0
model.layers.4.self_attn.k_proj.weight,1.0000000536441802,1.0000000804662705,0.9999998807907104,1.0000001192092896,0
model.layers.4.self_attn.v_proj.weight,1.0000000327825547,0.9999999403953552,0.9999998807907104,1.000000238418579,0
model.layers.4.self_attn.o_proj.weight,1.0000000566244125,1.0000001311302185,0.9999999403953552,1.000000238418579,0
model.layers.4.mlp.gate_proj.weight,1.000000074505806,1.0000000208616258,0.9999998807907104,1.000000238418579,0
model.layers.4.mlp.up_proj.weight,1.0000000298023224,1.0000002026557921,0.9999995827674866,1.000000238418579,0
model.layers.4.mlp.down_proj.weight,1.0000000923871994,1.000000110268593,0.9999998807907104,1.0000003576278687,0
model.layers.5.self_attn.q_proj.weight,1.0000000447034836,1.0000001430511474,0.9999998807907104,1.000000238418579,0
model.layers.5.self_attn.k_proj.weight,1.000000038743019,1.0000001937150955,0.9999999403953552,1.000000238418579,0
model.layers.5.self_attn.v_proj.weight,1.0000000417232513,1.0000000774860383,0.9999998807907104,1.000000238418579,0
model.layers.5.self_attn.o_proj.weight,1.0000001281499862,0.9999999523162841,0.9999999403953552,1.0000003576278687,0
model.layers.5.mlp.gate_proj.weight,1.0000000208616258,1.0000000774860383,0.9999996423721313,1.0000003576278687,0
model.layers.5.mlp.up_proj.weight,1.00000002682209,0.9999997854232788,0.9999997615814209,1.000000238418579,0
model.layers.5.mlp.down_proj.weight,1.0000000774860383,1.0000005900859832,0.9999998807907104,1.000000238418579,0
model.layers.6.self_attn.q_proj.weight,1.000000074505806,1.00000019967556,0.9999999403953552,1.000000238418579,0
model.layers.6.self_attn.k_proj.weight,1.000000062584877,1.00000019967556,0.9999998807907104,1.000000238418579,0
model.layers.6.self_attn.v_proj.weight,1.00000002682209,1.000000113248825,0.9999998807907104,1.000000238418579,0
model.layers.6.self_attn.o_proj.weight,1.0000000208616258,1.0000000536441802,0.9999998807907104,1.0000003576278687,0
model.layers.6.mlp.gate_proj.weight,1.0000000536441802,0.9999998837709427,0.9999997615814209,1.0000003576278687,0
model.layers.6.mlp.up_proj.weight,1.0000000476837159,0.9999999940395355,0.9999998807907104,1.000000238418579,0
model.layers.6.mlp.down_proj.weight,1.0000000447034836,1.0000001788139343,0.9999998807907104,1.000000238418579,0
model.layers.7.self_attn.q_proj.weight,1.0000000447034836,1.0000001639127731,0.9999998211860657,1.000000238418579,0
model.layers.7.self_attn.k_proj.weight,1.0000000447034836,1.000000074505806,0.9999998807907104,1.0000001192092896,0
model.layers.7.self_attn.v_proj.weight,1.0000000298023224,1.000000175833702,0.9999999403953552,1.0000001192092896,0
model.layers.7.self_attn.o_proj.weight,1.0000000566244125,1.000000074505806,0.9999998807907104,1.0000003576278687,0
model.layers.7.mlp.gate_proj.weight,1.000000062584877,1.0000001609325408,0.9999997615814209,1.000000238418579,0
model.layers.7.mlp.up_proj.weight,1.0000000059604646,1.0000000804662705,0.9999997019767761,1.000000238418579,0
model.layers.7.mlp.down_proj.weight,1.0000000327825547,0.9999998092651368,0.9999998211860657,1.000000238418579,0
model.layers.8.self_attn.q_proj.weight,1.0000000536441802,1.0000000715255737,0.9999998211860657,1.000000238418579,0
model.layers.8.self_attn.k_proj.weight,1.0000000506639481,1.0000001251697541,0.9999998807907104,1.000000238418579,0
model.layers.8.self_attn.v_proj.weight,1.000000038743019,0.9999999523162841,0.9999998211860657,1.0000001192092896,0
model.layers.8.self_attn.o_proj.weight,1.000000110268593,1.0000001311302185,0.9999999403953552,1.0000003576278687,0
model.layers.8.mlp.gate_proj.weight,1.000000062584877,1.0000001430511474,0.9999998211860657,1.000000238418579,0
model.layers.8.mlp.up_proj.weight,1.0000000208616258,1.0000000685453414,0.9999997615814209,1.0000003576278687,0
model.layers.8.mlp.down_proj.weight,1.000000038743019,1.000000184774399,0.9999999403953552,1.0000001192092896,0
model.layers.9.self_attn.q_proj.weight,1.0000000536441802,1.0000000029802323,0.9999998211860657,1.000000238418579,0
model.layers.9.self_attn.k_proj.weight,1.0000000715255737,1.0000001430511474,0.9999999403953552,1.000000238418579,0
model.layers.9.self_attn.v_proj.weight,1.0000000596046448,1.0000001221895218,0.9999999403953552,1.000000238418579,0
model.layers.9.self_attn.o_proj.weight,1.000000011920929,1.000000110268593,0.9999998807907104,1.0000001192092896,0
model.layers.9.mlp.gate_proj.weight,1.000000011920929,1.0000001579523086,0.9999996423721313,1.000000238418579,0
model.layers.9.mlp.up_proj.weight,1.0000000804662705,0.9999999970197677,0.9999997615814209,1.0000004768371582,0
model.layers.9.mlp.down_proj.weight,1.0000001251697541,1.0000001937150955,0.9999998807907104,1.000000238418579,0
model.layers.10.self_attn.q_proj.weight,1.0000000476837159,1.0000000834465026,0.9999998211860657,1.000000238418579,0
model.layers.10.self_attn.k_proj.weight,1.0000000655651093,0.9999999076128006,0.9999999403953552,1.0000001192092896,0
model.layers.10.self_attn.v_proj.weight,1.0000000447034836,1.0000000149011612,0.9999998807907104,1.000000238418579,0
model.layers.10.self_attn.o_proj.weight,1.000000062584877,1.0000000715255737,0.9999998807907104,1.000000238418579,0
model.layers.10.mlp.gate_proj.weight,0.9999999821186065,1.0000001311302185,0.9999998211860657,1.000000238418579,0
model.layers.10.mlp.up_proj.weight,1.0000000655651093,1.000000274181366,0.9999998211860657,1.000000238418579,0
model.layers.10.mlp.down_proj.weight,1.0000000566244125,1.0000001639127731,0.9999998211860657,1.000000238418579,0
model.layers.11.self_attn.q_proj.weight,1.0000000953674317,1.0000001698732377,0.9999998807907104,1.000000238418579,0
model.layers.11.self_attn.k_proj.weight,1.0000000596046448,1.0000000983476638,0.9999998807907104,1.000000238418579,0
model.layers.11.self_attn.v_proj.weight,1.0000000178813935,1.0000000894069672,0.9999998807907104,1.0000001192092896,0
model.layers.11.self_attn.o_proj.weight,1.0000000894069672,1.0000000506639481,0.9999999403953552,1.000000238418579,0
model.layers.11.mlp.gate_proj.weight,1.0000000953674317,1.0000000804662705,0.9999999403953552,1.000000238418579,0
